valid_at,sensor_id,pm2p5_x,pm2p5_y,pm1,pm10,no,no2,o3,co,relative_humidity,temperature,pressure,wind_speed,rain
2021-03-13 23:00:00,FEC01,21.7666666666667,6.3,17.2241666666667,27.1358333333333,29.3191666666667,13.635,151.8575,130.225833333333,55,11.0,1026.6,11.2,0.0
2021-03-14 00:00:00,FEC01,24.2583333333333,7.5,18.6066666666667,21.1566666666667,28.5275,15.015,155.276666666667,118.8,54,10.5,1026.9,5.4,0.0
2021-03-14 00:00:00,FEC02,14.2758333333333,7.5,7.17083333333333,30.6975,12.2983333333333,14.2533333333333,185.900833333333,101.523333333333,54,10.5,1026.9,5.4,0.0
2021-03-14 01:00:00,FEC01,21.0208333333333,7.6,14.6975,17.3958333333333,31.0208333333333,10.665,159.885833333333,109.385833333333,52,10.3,1027.0,5.4,0.0
2021-03-14 01:00:00,FEC02,16.4536363636364,7.6,7.15363636363636,31.3427272727273,5.96909090909091,10.3545454545455,190.755454545455,80.2709090909091,52,10.3,1027.0,5.4,0.0
2021-03-14 02:00:00,FEC02,19.1216666666667,7.0,8.0425,27.6908333333333,12.4216666666667,14.3533333333333,209.224166666667,94.1566666666667,52,10.3,1026.7,11.2,0.0
2021-03-14 02:00:00,FEC01,22.095,7.0,14.44,30.6516666666667,29.7391666666667,12.0541666666667,178.329166666667,105.44,52,10.3,1026.7,11.2,0.0
2021-03-14 03:00:00,FEC01,19.4916666666667,6.7,14.0308333333333,21.0675,28.3833333333333,16.1266666666667,173.3625,124.16,56,9.7,1026.8,3.6,0.0
2021-03-14 03:00:00,FEC02,18.1841666666667,6.7,7.25833333333333,40.1991666666667,10.2408333333333,16.6008333333333,207.2475,108.298333333333,56,9.7,1026.8,3.6,0.0
2021-03-14 04:00:00,FEC02,16.0425,6.4,6.76,26.8666666666667,10.395,16.0825,198.598333333333,85.9991666666667,59,9.0,1026.2,3.6,0.0
2021-03-14 04:00:00,FEC01,18.2825,6.4,14.5916666666667,22.5491666666667,25.7158333333333,14.315,162.699166666667,114.830833333333,59,9.0,1026.2,3.6,0.0
2021-03-14 05:00:00,FEC02,18.8141666666667,5.7,7.54083333333333,90.69,13.0583333333333,20.945,186.345833333333,86.73,59,8.8,1026.1,9.4,0.0
